ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2023,461143,35461143,10318,SUL 3,MADRE MARIE DOMINEUC,SAO PAULO,4,,
2023,461295,35461295,10314,SUL 2,RAIMUNDO SERAFIM DE LIMA INSPETOR,SAO PAULO,,2,1.96
2023,461301,35461301,10314,SUL 2,CHACARA SANTA MARIA,SAO PAULO,3,,2.92
2023,461313,35461313,10314,SUL 2,BERNADETE APARECIDA PEREIRA GODOI PROFA,SAO PAULO,,3,1.4
2023,461325,35461325,10314,SUL 2,JARDIM IPE,SAO PAULO,4,,0.61
2023,461635,35461635,20404,CAMPINAS OESTE,BENITO JUAREZ DE SOUZA,CAMPINAS,4,,4.35
2023,462019,35462019,20415,SUMARE,MARIA CRISTINA DE SOUZA LOBO PROFESSORA,HORTOLANDIA,,3,1.47
2023,462330,35462330,20501,ARARAQUARA,JOAQUIM PINTO MACHADO JUNIOR PROFESSOR MACHADINHO,ARARAQUARA,,,1.47
2023,462342,35462342,20415,SUMARE,PRISCILA FERNANDES DA ROCHA,HORTOLANDIA,,,
2023,462378,35462378,20419,CAPIVARI,SUELY MARIA CACAO AMBIEL BATISTA PROFESSORA,INDAIATUBA,,,1.47
2023,462536,35462536,20501,ARARAQUARA,OACYR ANTONIO ELLERO PROFESSOR,ARARAQUARA,,3,1.47
2023,462664,35462664,20102,SANTOS,APARECIDA CARLOS ANTONIO VIDAL,CUBATAO,3,,1.83
2023,462688,35462688,21003,MARILIA,JARDIM SANTA ANTONIETA,MARILIA,,3,1.98
2023,462724,35462724,20601,BAURU,HENRIQUE ROCHA DE ANDRADE PROFESSOR,BAURU,,2,1.35
2023,462767,35462767,20307,SAO ROQUE,MALIR TEREZINHA RAMALHO GOMES PROFESSORA,IBIUNA,,3,3.48
2023,462792,35462792,20507,RIBEIRAO PRETO,BAIRRO FRANCISCO CASTILHO,CRAVINHOS,,3,2.36
2023,462822,35462822,20415,SUMARE,PARQUE DOS SERVIDORES,PAULINIA,,,
2023,462846,35462846,20509,SAO CARLOS,LUCIANO IVO TOGNETTI PROFESSOR,DESCALVADO,,,0.9
2023,462925,35462925,20410,PIRACICABA,ATTILIO VIDAL LAFRATA PROFESSOR,PIRACICABA,,4,2.91
2023,463061,35463061,10101,NORTE 1,ILHA DA JUVENTUDE,SAO PAULO,,,1.46
2023,463073,35463073,10101,NORTE 1,JORNALISTA RUY MESQUITA,SAO PAULO,,2,1.87
2023,463140,35463140,10403,GUARULHOS NORTE,JARDIM SANTA CECILIA,GUARULHOS,,,2.21
2023,471458,35471458,20410,PIRACICABA,FERNANDO MARIA FACHINI FREI,SANTA MARIA DA SERRA,,2,
2023,472505,35472505,10318,SUL 3,ILDA VIEIRA VILELA,SAO PAULO,,,1.5
2023,474629,35474629,21003,MARILIA,JARDIM ALCIR RAINERI,MARILIA,,3,1.58
2023,474859,35474859,20102,SANTOS,PARQUE DOS SONHOS 9A,CUBATAO,3,,1.18
2023,474873,35474873,20102,SANTOS,WALDOMIRO MARIANI PROFESSOR,CUBATAO,,2,3.86
2023,477321,35477321,10706,TABOAO DA SERRA,PROFESSOR HENRIQUE COSTA,EMBU DAS ARTES,,3,
2023,477977,35477977,10317,SUL 1,OCTAVIA CANDIDO DOS SANTOS,SAO PAULO,3,,4.75
2023,478209,35478209,20408,LIMEIRA,JOAO BAPTISTA GAZZOLA,ARTUR NOGUEIRA,,2,0.82
2023,478416,35478416,10317,SUL 1,RUTH GUIMAR?ES BOTELHO,SAO PAULO,4,,1.53
2023,478912,35478912,20308,SOROCABA,ELZIDE CELESTINA SOUZA PACHECO TUNUCHI PROFA,SOROCABA,,3,1.4
2023,479081,35479081,10318,SUL 3,JARDIM NORONHA V,SAO PAULO,,2,3.26
2023,479111,35479111,20403,BRAGANCA PAULISTA,HENRIQUE MIGUEL HACL PROFESSOR,NAZARE PAULISTA,,2,3.02
2023,479329,35479329,20604,LINS,JARDIM DOM BOSCO,GUAICARA,,3,1.96
2023,479342,35479342,20501,ARARAQUARA,URIAS BRAGA COSTA PROFESSOR,ARARAQUARA,,3,1.26
2023,479433,35479433,20307,SAO ROQUE,DISTRITO DE MAYLASKI,SAO ROQUE,,,1.93
2023,479500,35479500,10101,NORTE 1,CYNIRA STOCCO FAUSTO PROFESSORA,SAO PAULO,,2,1.46
2023,483631,35483631,10210,LESTE 2,SALVADOR ROMANO,SAO PAULO,4,,1.19
2023,483643,35483643,10210,LESTE 2,C?NDIDA RITA DA SILVA PAULO,SAO PAULO,,3,1.33
2023,495104,35495104,20308,SOROCABA,FERNANDA DE CAMARGO PIRES PROFESSORA,SOROCABA,,2,1.49
2023,495311,35495311,20303,BOTUCATU,NAERSON MIRANDA PROFESSOR,BOFETE,,5,2.25
2023,495529,35495529,20205,SAO JOSE DOS CAMPOS,JARDIM REPUBLICA,SAO JOSE DOS CAMPOS,,,1.85
2023,496376,35496376,20602,JAU,ANA FRANCO DA ROCHA BRANDO PROFA,JAU,,,2.39
2023,496467,35496467,20904,PRESIDENTE PRUDENTE,TEOFILO GONZAGA DA SANTA CRUZ,PRESIDENTE PRUDENTE,,2,3.02
2023,496479,35496479,20410,PIRACICABA,AROLDO DONIZETTI LEITE,SAO PEDRO,,,1.68
2023,496534,35496534,20504,FRANCA,ASSUERO QUADRI PRESTES DR PROFESSOR,FRANCA,,2,1.46
2023,496546,35496546,20504,FRANCA,ROBERTO SCARABUCI PROFESSOR,FRANCA,,2,1.89
2023,496558,35496558,20504,FRANCA,ADELMO FRANCISCO DA SILVA,FRANCA,,2,1.19
2023,496571,35496571,20509,SAO CARLOS,ADUAR KEMELL DIBO PROFESSOR,SAO CARLOS,,3,2.44
2023,496601,35496601,20419,CAPIVARI,PROFESSORA MARIA BERNADETE AMGARTEN PERES,INDAIATUBA,,4,1.14
2023,496790,35496790,10703,ITAPEVI,TEREZINHA PALONE DA SILVA DOMINGUES PROFA,JANDIRA,,,1.29
2023,497095,35497095,20205,SAO JOSE DOS CAMPOS,DIACONO HAMILTON BONTORIM DE SOUZA PROFESSOR,SAO JOSE DOS CAMPOS,,3,1.67
2023,497253,35497253,20504,FRANCA,STELLA DA MATTA AMBROSIO PROFESSORA,FRANCA,,3,1.29
2023,497289,35497289,10503,ITAQUAQUECETUBA,JARDIM SANTA RITA II,ITAQUAQUECETUBA,,2,1.12
2023,497381,35497381,20501,ARARAQUARA,JARDIM BUSCARDI,MATAO,,,1.91
2023,497733,35497733,20401,AMERICANA,GERALDO DE OLIVEIRA,NOVA ODESSA,,3,1.8
2023,497812,35497812,20204,PINDAMONHANGABA,JARDIM DOS CISNES,SAO BENTO DO SAPUCAI,,3,1.11
2023,498087,35498087,20802,ARACATUBA,DAVID GOLIAS PROF,VALPARAISO,,2,2.16
2023,498403,35498403,20310,VOTORANTIM,BAIRRO DO TURVO,TAPIRAI,,2,1.79
